name,calories,message,timePenalty
high blood pressue,4000,You can work this off using exercise,0
diabetes,8000,Diabetes will speed your time up,1.5
heart disease,9000,You may have a heart attack and die prematurely,2
high cholesterol,12000,"You have high cholesterol levels, which will increase your chances of a heart attack. Excerise to get rid of high cholesterol.",0
back pain,6000,You have back pain as you're slightly overweight. Exercise can reduce this.,0
cancer,15000,you have a higher risk of cancer!,2
infertility,10000,You're becoming infertile,0
skin infections,11000,You could get skin infections,0.5
ulsers,13000,You're getting ulsers,0
gallstones,7000,You're getting gallstones,0
